scenario,replication,method,max_iter,beta_hat_b,z_score_beta_hat_b,bec_count,status
prop_0.4,176,RR-GEE,5,5.503159804284075,16.22885348359543,7.676129136053685,
prop_0.4,176,RR-GEE,15,15.503134808974293,45.678518628838944,1136.1601508750155,
prop_0.4,176,RR-GEE,25,25.503120209320137,94.18006828224064,168620.0759278543,Non-converged
prop_0.4,176,RR-PGEE,5,3.8650989829570976,11.67047501926611,3.283736007935494,
prop_0.4,176,RR-PGEE,15,3.888519201796616,11.741077650731532,3.3213882470167957,
prop_0.4,176,RR-PGEE,25,3.888519201796616,11.741077650731532,3.3213882470167957,Converged
prop_0.4,176,OR-GEE,5,5.683364473545023,16.511902933398733,3.482235385005081,
prop_0.4,176,OR-GEE,15,15.684058737396123,46.455066423297026,513.3819593260296,
prop_0.4,176,OR-GEE,25,25.684029528464738,82.83785876212636,76191.50870753542,Non-converged
prop_0.4,176,OR-PGEE,5,3.7762041989119983,11.177075431472952,2.0200488903123515,
prop_0.4,176,OR-PGEE,15,3.7894154906801663,11.216342113157813,2.166742593888874,
prop_0.4,176,OR-PGEE,25,3.7894154906801663,11.216342113157813,2.166742593888874,Converged
