scenario,scenario_type,method,n_replications,converged_bec_le_10,converged_bec_gt_10,non_converged_bec_le_10,non_converged_bec_gt_10
alpha_0.2,standard,OR-GEE-ZY,1000,885,0,45,70
alpha_0.2,standard,OR-PGEE-ZY,1000,935,0,65,0
alpha_0.2,standard,RR-GEE,1000,892,4,17,87
alpha_0.2,standard,RR-PGEE,1000,987,10,2,1
alpha_0.3,standard,OR-GEE-ZY,1000,881,0,48,71
alpha_0.3,standard,OR-PGEE-ZY,1000,933,0,67,0
alpha_0.3,standard,RR-GEE,1000,888,4,19,89
alpha_0.3,standard,RR-PGEE,1000,989,7,3,1
alpha_0.5,standard,OR-GEE-ZY,1000,831,0,69,100
alpha_0.5,standard,OR-PGEE-ZY,1000,912,0,88,0
alpha_0.5,standard,RR-GEE,1000,849,6,28,117
alpha_0.5,standard,RR-PGEE,1000,980,13,6,1
alpha_0.6,standard,OR-GEE-ZY,1000,793,0,84,123
alpha_0.6,standard,OR-PGEE-ZY,1000,874,0,126,0
alpha_0.6,standard,RR-GEE,1000,815,6,43,136
alpha_0.6,standard,RR-PGEE,1000,975,11,10,4
alpha_0.7,standard,OR-GEE-ZY,1000,740,0,131,129
alpha_0.7,standard,OR-PGEE-ZY,1000,849,0,151,0
alpha_0.7,standard,RR-GEE,1000,772,9,55,164
alpha_0.7,standard,RR-PGEE,1000,960,13,22,5
alpha_0.8,standard,OR-GEE-ZY,1000,689,2,154,155
alpha_0.8,standard,OR-PGEE-ZY,1000,808,0,192,0
alpha_0.8,standard,RR-GEE,1000,726,7,76,191
alpha_0.8,standard,RR-PGEE,1000,944,11,36,9
base,standard,OR-GEE-ZY,1000,868,0,58,74
base,standard,OR-PGEE-ZY,1000,922,0,78,0
base,standard,RR-GEE,1000,878,7,22,93
base,standard,RR-PGEE,1000,985,10,3,2
beta0_-2,standard,OR-GEE-ZY,1000,994,0,5,1
beta0_-2,standard,OR-PGEE-ZY,1000,941,0,59,0
beta0_-2,standard,RR-GEE,1000,1000,0,0,0
beta0_-2,standard,RR-PGEE,1000,1000,0,0,0
beta0_-3,standard,OR-GEE-ZY,1000,971,0,26,3
beta0_-3,standard,OR-PGEE-ZY,1000,922,0,78,0
beta0_-3,standard,RR-GEE,1000,995,1,0,4
beta0_-3,standard,RR-PGEE,1000,1000,0,0,0
beta_b_1.2,standard,OR-GEE-ZY,1000,788,1,62,149
beta_b_1.2,standard,OR-PGEE-ZY,1000,941,0,59,0
beta_b_1.2,standard,RR-GEE,1000,805,2,46,147
beta_b_1.2,standard,RR-PGEE,1000,984,11,1,4
beta_b_1.4,standard,OR-GEE-ZY,1000,824,0,61,115
beta_b_1.4,standard,OR-PGEE-ZY,1000,934,0,66,0
beta_b_1.4,standard,RR-GEE,1000,837,4,33,126
beta_b_1.4,standard,RR-PGEE,1000,985,11,0,4
beta_b_1.8,standard,OR-GEE-ZY,1000,886,0,55,59
beta_b_1.8,standard,OR-PGEE-ZY,1000,897,0,103,0
beta_b_1.8,standard,RR-GEE,1000,900,8,14,78
beta_b_1.8,standard,RR-PGEE,1000,988,7,3,2
beta_b_2,standard,OR-GEE-ZY,1000,886,0,66,48
beta_b_2,standard,OR-PGEE-ZY,1000,859,0,141,0
beta_b_2,standard,RR-GEE,1000,909,11,9,71
beta_b_2,standard,RR-PGEE,1000,985,8,5,2
confounded_shift_0_50,confounded,OR-GEE-ZY,1000,874,0,64,62
confounded_shift_0_50,confounded,OR-PGEE-ZY,1000,909,0,91,0
confounded_shift_0_50,confounded,RR-GEE,1000,886,8,19,87
confounded_shift_0_50,confounded,RR-PGEE,1000,985,10,4,1
n_100,standard,OR-GEE-ZY,1000,992,0,4,4
n_100,standard,OR-PGEE-ZY,1000,993,0,7,0
n_100,standard,RR-GEE,1000,995,0,0,5
n_100,standard,RR-PGEE,1000,1000,0,0,0
n_25,standard,OR-GEE-ZY,1000,522,0,235,243
n_25,standard,OR-PGEE-ZY,1000,725,0,275,0
n_25,standard,RR-GEE,1000,544,0,153,303
n_25,standard,RR-PGEE,1000,913,4,61,22
n_75,standard,OR-GEE-ZY,1000,965,0,13,22
n_75,standard,OR-PGEE-ZY,1000,980,0,20,0
n_75,standard,RR-GEE,1000,971,0,2,27
n_75,standard,RR-PGEE,1000,1000,0,0,0
prop_0.3,standard,OR-GEE-ZY,1000,911,0,49,40
prop_0.3,standard,OR-PGEE-ZY,1000,995,0,5,0
prop_0.3,standard,RR-GEE,1000,915,0,8,77
prop_0.3,standard,RR-PGEE,1000,999,0,1,0
prop_0.4,standard,OR-GEE-ZY,1000,887,0,59,54
prop_0.4,standard,OR-PGEE-ZY,1000,1000,0,0,0
prop_0.4,standard,RR-GEE,1000,888,0,3,109
prop_0.4,standard,RR-PGEE,1000,1000,0,0,0
prop_0.5,standard,OR-GEE-ZY,1000,833,0,82,85
prop_0.5,standard,OR-PGEE-ZY,1000,1000,0,0,0
prop_0.5,standard,RR-GEE,1000,834,0,0,166
prop_0.5,standard,RR-PGEE,1000,1000,0,0,0
prop_0.6,standard,OR-GEE-ZY,1000,757,0,132,111
prop_0.6,standard,OR-PGEE-ZY,1000,1000,0,0,0
prop_0.6,standard,RR-GEE,1000,758,0,1,241
prop_0.6,standard,RR-PGEE,1000,1000,0,0,0
prop_0.7,standard,OR-GEE-ZY,1000,668,0,155,177
prop_0.7,standard,OR-PGEE-ZY,1000,1000,0,0,0
prop_0.7,standard,RR-GEE,1000,668,0,0,332
prop_0.7,standard,RR-PGEE,1000,1000,0,0,0
prop_0.8,standard,OR-GEE-ZY,1000,525,0,244,231
prop_0.8,standard,OR-PGEE-ZY,1000,1000,0,0,0
prop_0.8,standard,RR-GEE,1000,525,0,0,475
prop_0.8,standard,RR-PGEE,1000,1000,0,0,0
