scenario,scenario_type,method,n_used,true_beta_b,mean_beta,bias_beta,mse_beta,n_unconditional,bias_beta_unconditional,mse_beta_unconditional
alpha_0.2,standard,OR-GEE-ZY,849,1.6,1.5573739247760154,-0.042626075223984344,0.5734889121266508,885,-0.0047133873462789425,0.6038995419710241
alpha_0.2,standard,OR-PGEE-ZY,849,1.6,1.5256640029734228,-0.07433599702657732,0.4394630089847904,935,-0.023759130943872803,1.028047465731943
alpha_0.2,standard,RR-GEE,849,1.6,1.545108378183517,-0.05489162181648308,0.567261754742868,892,0.0014064604892815617,0.6109707114566394
alpha_0.2,standard,RR-PGEE,849,1.6,1.531028504283975,-0.06897149571602533,0.4265426359735423,987,0.08028972769241978,1.2415366650439423
alpha_0.3,standard,OR-GEE-ZY,849,1.6,1.5667771506427326,-0.03322284935726772,0.6234402071129387,881,0.00332101810973064,0.6497078984958078
alpha_0.3,standard,OR-PGEE-ZY,849,1.6,1.531612127375725,-0.0683878726242751,0.4713339543701266,933,-0.033169007327778464,1.075942390069662
alpha_0.3,standard,RR-GEE,849,1.6,1.5533363542350387,-0.046663645764961285,0.61484003102668,888,0.0065819437767284375,0.6560278163570186
alpha_0.3,standard,RR-PGEE,849,1.6,1.537561312430241,-0.062438687569759135,0.45674199905005036,989,0.08135422833089503,1.3034199930460233
alpha_0.5,standard,OR-GEE-ZY,792,1.6,1.5566512486500197,-0.04334875134998055,0.699474765887495,831,0.009546438744713597,0.7390548581361304
alpha_0.5,standard,OR-PGEE-ZY,792,1.6,1.5248579148700694,-0.07514208512993073,0.5242205624255222,912,-0.08266239293989312,1.302459595741854
alpha_0.5,standard,RR-GEE,792,1.6,1.5412038424622947,-0.05879615753770519,0.6904263816821212,849,0.018894326491397256,0.7480097199626041
alpha_0.5,standard,RR-PGEE,792,1.6,1.5288842672309961,-0.07111573276900418,0.5051943889522247,980,0.045448851212168385,1.4642144063744749
alpha_0.6,standard,OR-GEE-ZY,734,1.6,1.5221212117494096,-0.07787878825059026,0.7598199526507019,793,0.015476388528183435,0.8294455347128439
alpha_0.6,standard,OR-PGEE-ZY,734,1.6,1.4922835284836868,-0.10771647151631333,0.5506015807562781,874,-0.10388122603678569,1.4299150520560668
alpha_0.6,standard,RR-GEE,734,1.6,1.5057875155468012,-0.09421248445319899,0.7339010343372505,815,0.022176699150709394,0.8235843469719795
alpha_0.6,standard,RR-PGEE,734,1.6,1.4980864019535147,-0.10191359804648543,0.5274798566865887,975,0.092252700713709,1.6915522498161213
alpha_0.7,standard,OR-GEE-ZY,680,1.6,1.5275410744920692,-0.07245892550793086,0.7752349650440652,740,0.03151600561793951,0.8590357855050045
alpha_0.7,standard,OR-PGEE-ZY,680,1.6,1.4899549999700197,-0.11004500002998054,0.56859260075994,849,-0.09850777446110619,1.684276675405197
alpha_0.7,standard,RR-GEE,680,1.6,1.5051618190494933,-0.0948381809505066,0.7685249634998192,772,0.029848775705221858,0.8493694269935222
alpha_0.7,standard,RR-PGEE,680,1.6,1.4959464860231786,-0.10405351397682147,0.5428399216309762,960,0.11791106740563716,1.9083524965501515
alpha_0.8,standard,OR-GEE-ZY,621,1.6,1.5340461058625185,-0.06595389413748158,0.8322128725197172,689,0.06200481116803389,0.925412188089907
alpha_0.8,standard,OR-PGEE-ZY,621,1.6,1.471224122152316,-0.12877587784768424,0.5899111305168424,808,-0.1348267110518111,1.7923628591807386
alpha_0.8,standard,RR-GEE,621,1.6,1.4951960517456984,-0.10480394825430199,0.8124305415002155,726,0.06321283283779981,0.9321141865843833
alpha_0.8,standard,RR-PGEE,621,1.6,1.4815861343672878,-0.1184138656327124,0.5542788539882543,944,0.1713735080217183,2.156288958972319
