scenario,scenario_type,method,n_used,mean_log_variance,empirical_log_variance,mean_ci_width_rr,variance_ratio,coverage,coverage_n
alpha_0.2,standard,OR-GEE-ZY,849,0.8254193175883235,0.6451077440970512,23.272256873918174,1.2795061369843763,0.9787985865724381,849
alpha_0.2,standard,OR-PGEE-ZY,849,0.5597641074388127,0.48406350869398,17.12072130251488,1.1563856754025426,0.9611307420494699,849
alpha_0.2,standard,RR-GEE,849,0.7138423005756027,0.5649140521734003,34.1213270938898,1.2636299235772752,0.9858657243816255,849
alpha_0.2,standard,RR-PGEE,849,0.4561073091488012,0.4222829573946331,20.468646694155268,1.0800987848594572,0.9646643109540636,849
alpha_0.3,standard,OR-GEE-ZY,849,0.8853986048483985,0.6995986883122735,25.035696041700614,1.2655807102559793,0.9811542991755006,849
alpha_0.3,standard,OR-PGEE-ZY,849,0.5913981068523034,0.5182137718552694,18.125113589541918,1.1412242185980992,0.9634864546525324,849
alpha_0.3,standard,RR-GEE,849,0.764619527340134,0.6133850145953079,37.51615630872838,1.246557234275777,0.9858657243816255,849
alpha_0.3,standard,RR-PGEE,849,0.47883793718211715,0.4533774227990322,21.700924959945013,1.0561574377168992,0.9681978798586572,849
alpha_0.5,standard,OR-GEE-ZY,792,1.0086067286463147,0.7895324728612179,27.17988952738997,1.277473395098222,0.9785353535353535,792
alpha_0.5,standard,OR-PGEE-ZY,792,0.6617061625334781,0.5795926599885934,19.562861347248166,1.1416745038601779,0.9457070707070707,792
alpha_0.5,standard,RR-GEE,792,0.8695813385427508,0.6878378757072198,42.04751769724559,1.2642242732688518,0.9911616161616161,792
alpha_0.5,standard,RR-PGEE,792,0.5280381260786835,0.5007692258810648,23.613061290088545,1.0544540255037462,0.9595959595959596,792
alpha_0.6,standard,OR-GEE-ZY,734,1.0825735107342709,0.8588518862392526,27.294588419606455,1.26048918105618,0.9727520435967303,734
alpha_0.6,standard,OR-PGEE-ZY,734,0.6979659350962387,0.6029287389800534,19.533620980354495,1.157625918241939,0.9509536784741145,734
alpha_0.6,standard,RR-GEE,734,0.9214615595906241,0.7260141622224259,42.909164260898464,1.269206039686482,0.9809264305177112,734
alpha_0.6,standard,RR-PGEE,734,0.549884705396383,0.5177989233442553,23.62513535706954,1.061965717975809,0.9632152588555858,734
alpha_0.7,standard,OR-GEE-ZY,680,1.1764008784367166,0.8717304790326075,28.98187382244858,1.3495006848242974,0.9691176470588235,680
alpha_0.7,standard,OR-PGEE-ZY,680,0.7351447257125456,0.6191481045363932,20.418262120262785,1.1873487463278412,0.9441176470588235,680
alpha_0.7,standard,RR-GEE,680,0.9850857247035256,0.7606492848232642,46.82800861359939,1.2950590296451918,0.975,680
alpha_0.7,standard,RR-PGEE,680,0.5740352556303288,0.5327963118480634,24.713456606228654,1.0774009557972042,0.95,680
alpha_0.8,standard,OR-GEE-ZY,621,1.3624792889682005,0.9634651494771655,30.86092209652176,1.414144860047677,0.9677938808373591,621
