scenario,replication,method,max_iter,beta_hat_b,z_score_beta_hat_b,bec_count,status
alpha_0.5,9,RR-GEE,5,-5.199620740432577,-9.492040576778242,7.610661018743227,
alpha_0.5,9,RR-GEE,15,-15.199625682336404,-27.747339194538274,1128.3128458973742,
alpha_0.5,9,RR-GEE,25,-25.199625682560175,-46.0026171723751,167456.4657639981,Non-converged
alpha_0.5,9,RR-PGEE,5,-1.6036780141116131,-3.2273507809152187,1.1268219865187385,
alpha_0.5,9,RR-PGEE,15,-1.6037216937693477,-3.2274384773651423,1.1268445056845282,
alpha_0.5,9,RR-PGEE,25,-1.6037216937693477,-3.2274384773651423,1.1268445056845282,Converged
alpha_0.5,9,OR-GEE,5,-5.260100663644554,-9.534597958126268,5.288561600521632,
alpha_0.5,9,OR-GEE,15,-15.260382647307944,-27.662286332870718,782.5767175217195,
alpha_0.5,9,OR-GEE,25,-25.260382660104643,-45.78914927728022,116144.66725567837,Non-converged
alpha_0.5,9,OR-PGEE,5,-1.600693165012556,-3.1708663482888153,1.2658037458376425,
alpha_0.5,9,OR-PGEE,15,-1.6007093615317047,-3.1709505614199855,1.2673427442223966,
alpha_0.5,9,OR-PGEE,25,-1.6007093615317047,-3.1709505614199855,1.2673427442223966,Converged
