scenario,scenario_type,method,n_replications,converged_bec_le_10,converged_bec_gt_10,non_converged_bec_le_10,non_converged_bec_gt_10
alpha_0.2,standard,OR-GEE-ZY,100,93,0,5,2
alpha_0.2,standard,OR-PGEE-ZY,100,95,0,5,0
alpha_0.2,standard,RR-GEE,100,95,0,0,5
alpha_0.2,standard,RR-PGEE,100,100,0,0,0
alpha_0.3,standard,OR-GEE-ZY,100,96,0,3,1
alpha_0.3,standard,OR-PGEE-ZY,100,96,0,4,0
alpha_0.3,standard,RR-GEE,100,96,0,1,3
alpha_0.3,standard,RR-PGEE,100,100,0,0,0
alpha_0.5,standard,OR-GEE-ZY,100,90,0,4,6
alpha_0.5,standard,OR-PGEE-ZY,100,93,0,7,0
alpha_0.5,standard,RR-GEE,100,92,0,1,7
alpha_0.5,standard,RR-PGEE,100,100,0,0,0
alpha_0.6,standard,OR-GEE-ZY,100,83,0,8,9
alpha_0.6,standard,OR-PGEE-ZY,100,88,0,12,0
alpha_0.6,standard,RR-GEE,100,86,0,4,10
alpha_0.6,standard,RR-PGEE,100,98,1,1,0
alpha_0.7,standard,OR-GEE-ZY,100,80,0,10,10
alpha_0.7,standard,OR-PGEE-ZY,100,87,0,13,0
alpha_0.7,standard,RR-GEE,100,86,0,2,12
alpha_0.7,standard,RR-PGEE,100,99,1,0,0
alpha_0.8,standard,OR-GEE-ZY,100,69,0,17,14
alpha_0.8,standard,OR-PGEE-ZY,100,81,0,19,0
alpha_0.8,standard,RR-GEE,100,73,0,7,20
alpha_0.8,standard,RR-PGEE,100,97,0,3,0
base,standard,OR-GEE-ZY,100,95,0,2,3
base,standard,OR-PGEE-ZY,100,95,0,5,0
base,standard,RR-GEE,100,95,0,1,4
base,standard,RR-PGEE,100,100,0,0,0
beta0_-2,standard,OR-GEE-ZY,100,100,0,0,0
beta0_-2,standard,OR-PGEE-ZY,100,96,0,4,0
beta0_-2,standard,RR-GEE,100,100,0,0,0
beta0_-2,standard,RR-PGEE,100,100,0,0,0
beta0_-3,standard,OR-GEE-ZY,100,96,0,4,0
beta0_-3,standard,OR-PGEE-ZY,100,92,0,8,0
beta0_-3,standard,RR-GEE,100,100,0,0,0
beta0_-3,standard,RR-PGEE,100,100,0,0,0
beta_b_1.2,standard,OR-GEE-ZY,100,84,0,2,14
beta_b_1.2,standard,OR-PGEE-ZY,100,97,0,3,0
beta_b_1.2,standard,RR-GEE,100,84,0,4,12
beta_b_1.2,standard,RR-PGEE,100,100,0,0,0
beta_b_1.4,standard,OR-GEE-ZY,100,89,0,4,7
beta_b_1.4,standard,OR-PGEE-ZY,100,97,0,3,0
beta_b_1.4,standard,RR-GEE,100,89,0,2,9
beta_b_1.4,standard,RR-PGEE,100,100,0,0,0
beta_b_1.8,standard,OR-GEE-ZY,100,95,0,3,2
beta_b_1.8,standard,OR-PGEE-ZY,100,93,0,7,0
beta_b_1.8,standard,RR-GEE,100,96,0,0,4
beta_b_1.8,standard,RR-PGEE,100,100,0,0,0
beta_b_2,standard,OR-GEE-ZY,100,94,0,3,3
beta_b_2,standard,OR-PGEE-ZY,100,89,0,11,0
beta_b_2,standard,RR-GEE,100,95,1,0,4
beta_b_2,standard,RR-PGEE,100,99,0,1,0
confounded_shift_0_50,confounded,OR-GEE-ZY,100,94,0,4,2
confounded_shift_0_50,confounded,OR-PGEE-ZY,100,95,0,5,0
confounded_shift_0_50,confounded,RR-GEE,100,95,0,1,4
confounded_shift_0_50,confounded,RR-PGEE,100,100,0,0,0
n_100,standard,OR-GEE-ZY,100,100,0,0,0
n_100,standard,OR-PGEE-ZY,100,100,0,0,0
n_100,standard,RR-GEE,100,100,0,0,0
n_100,standard,RR-PGEE,100,100,0,0,0
n_25,standard,OR-GEE-ZY,100,51,0,25,24
n_25,standard,OR-PGEE-ZY,100,74,0,26,0
n_25,standard,RR-GEE,100,54,0,8,38
n_25,standard,RR-PGEE,100,94,1,4,1
n_75,standard,OR-GEE-ZY,100,97,0,0,3
n_75,standard,OR-PGEE-ZY,100,96,0,4,0
n_75,standard,RR-GEE,100,97,0,0,3
n_75,standard,RR-PGEE,100,100,0,0,0
prop_0.3,standard,OR-GEE-ZY,100,93,0,3,4
prop_0.3,standard,OR-PGEE-ZY,100,100,0,0,0
prop_0.3,standard,RR-GEE,100,93,0,1,6
prop_0.3,standard,RR-PGEE,100,100,0,0,0
prop_0.4,standard,OR-GEE-ZY,100,91,0,5,4
prop_0.4,standard,OR-PGEE-ZY,100,100,0,0,0
prop_0.4,standard,RR-GEE,100,91,0,1,8
prop_0.4,standard,RR-PGEE,100,100,0,0,0
prop_0.5,standard,OR-GEE-ZY,100,82,0,9,9
prop_0.5,standard,OR-PGEE-ZY,100,100,0,0,0
prop_0.5,standard,RR-GEE,100,82,0,0,18
prop_0.5,standard,RR-PGEE,100,100,0,0,0
prop_0.6,standard,OR-GEE-ZY,100,79,0,11,10
prop_0.6,standard,OR-PGEE-ZY,100,100,0,0,0
prop_0.6,standard,RR-GEE,100,79,0,0,21
prop_0.6,standard,RR-PGEE,100,100,0,0,0
prop_0.7,standard,OR-GEE-ZY,100,74,0,14,12
prop_0.7,standard,OR-PGEE-ZY,100,100,0,0,0
prop_0.7,standard,RR-GEE,100,74,0,0,26
prop_0.7,standard,RR-PGEE,100,100,0,0,0
prop_0.8,standard,OR-GEE-ZY,100,57,0,20,23
prop_0.8,standard,OR-PGEE-ZY,100,100,0,0,0
prop_0.8,standard,RR-GEE,100,57,0,0,43
prop_0.8,standard,RR-PGEE,100,100,0,0,0
